scalarMultiplyKernel, 78287104, 4, 66, 39, 50 , 604838700.000000, 52914, 
scalarMultiplyKernel, 46444225, 4, 53, 39, 44 , 407484369.000000, 30310, 
scalarMultiplyKernel, 85766121, 4, 76, 39, 53 , 721643630.000000, 71317, 
scalarMultiplyKernel, 134884996, 4, 100, 39, 65 , 1117391736.000000, 110278, 
scalarMultiplyKernel, 60388441, 4, 74, 57, 65 , 491884592.000000, 41442, 
scalarMultiplyKernel, 147841281, 4, 103, 39, 68 , 1231950734.000000, 123929, 
scalarMultiplyKernel, 33512521, 4, 66, 57, 60 , 256517406.000000, 20542, 
scalarMultiplyKernel, 96452041, 4, 81, 39, 56 , 816171491.000000, 76575, 
scalarMultiplyKernel, 52693081, 4, 60, 39, 46 , 462771460.000000, 41834, 
scalarMultiplyKernel, 72250000, 4, 68, 39, 48 , 596153353.000000, 55073, 
scalarMultiplyKernel, 77211369, 4, 80, 57, 68 , 623121772.000000, 59272, 
scalarMultiplyKernel, 22838841, 4, 63, 58, 60 , 186387240.000000, 16588, 
scalarMultiplyKernel, 76842756, 4, 85, 58, 69 , 623027377.000000, 69724, 
scalarMultiplyKernel, 6620329, 4, 54, 51, 51 , 54055662.000000, 6469, 
scalarMultiplyKernel, 14753281, 4, 61, 58, 59 , 120559521.000000, 8767, 
scalarMultiplyKernel, 111767184, 4, 94, 58, 75 , 854282598.000000, 85111, 
scalarMultiplyKernel, 124478649, 4, 94, 39, 62 , 1038941056.000000, 103006, 
scalarMultiplyKernel, 141514816, 4, 106, 58, 80 , 1081974815.000000, 116366, 
scalarMultiplyKernel, 24840256, 4, 50, 43, 44 , 200828361.000000, 16122, 
scalarMultiplyKernel, 136773025, 4, 105, 58, 79 , 1114802084.000000, 121547, 
scalarMultiplyKernel, 47485881, 4, 54, 39, 44 , 421672455.000000, 31142, 
scalarMultiplyKernel, 60372900, 4, 77, 58, 66 , 523209158.000000, 49505, 
scalarMultiplyKernel, 78004224, 4, 71, 39, 52 , 606179918.000000, 58707, 
scalarMultiplyKernel, 118679236, 4, 90, 39, 59 , 1011262406.000000, 95279, 
scalarMultiplyKernel, 111576969, 4, 91, 40, 62 , 909493284.000000, 89475, 
scalarMultiplyKernel, 143856036, 4, 98, 39, 65 , 1283197303.000000, 118006, 
scalarMultiplyKernel, 124456336, 4, 98, 58, 76 , 936994646.000000, 95770, 
scalarMultiplyKernel, 150601984, 4, 100, 39, 66 , 1156372867.000000, 110316, 
scalarMultiplyKernel, 15872256, 4, 59, 57, 58 , 120968782.000000, 6018, 
scalarMultiplyKernel, 8162449, 4, 57, 54, 55 , 62766583.000000, 6286, 
scalarMultiplyKernel, 19571776, 16, 64, 57, 60 , 168998768.000000, 11705, 
scalarMultiplyKernel, 11614464, 16, 43, 39, 40 , 129866705.000000, 7041, 
scalarMultiplyKernel, 21446161, 16, 70, 58, 62 , 197617547.000000, 23372, 
scalarMultiplyKernel, 33721249, 16, 57, 39, 44 , 343645460.000000, 33978, 
scalarMultiplyKernel, 15100996, 16, 42, 39, 40 , 167431018.000000, 6220, 
scalarMultiplyKernel, 36966400, 16, 59, 39, 48 , 351198066.000000, 32789, 
scalarMultiplyKernel, 8381025, 16, 56, 56, 56 , 73866514.000000, 0, 
scalarMultiplyKernel, 24117921, 16, 70, 57, 62 , 223058711.000000, 23718, 
scalarMultiplyKernel, 13176900, 16, 60, 57, 59 , 117568925.000000, 5944, 
scalarMultiplyKernel, 18062500, 16, 42, 39, 40 , 178247596.000000, 6835, 
scalarMultiplyKernel, 19307236, 16, 46, 39, 41 , 207971607.000000, 14341, 
scalarMultiplyKernel, 5712100, 16, 57, 57, 57 , 53323324.000000, 0, 
scalarMultiplyKernel, 19210689, 16, 50, 39, 41 , 183973376.000000, 18790, 
scalarMultiplyKernel, 1656369, 16, 48, 48, 48 , 15693385.000000, 0, 
scalarMultiplyKernel, 3690241, 16, 57, 57, 57 , 34540910.000000, 0, 
scalarMultiplyKernel, 27941796, 16, 55, 39, 44 , 261481346.000000, 28788, 
scalarMultiplyKernel, 31125241, 16, 59, 39, 45 , 300877780.000000, 33862, 
scalarMultiplyKernel, 35378704, 16, 75, 58, 66 , 308351282.000000, 33794, 
scalarMultiplyKernel, 6210064, 16, 58, 57, 57 , 55074974.000000, 4805, 
scalarMultiplyKernel, 34199104, 16, 53, 39, 45 , 341974315.000000, 26545, 
scalarMultiplyKernel, 11874916, 16, 61, 57, 58 , 109758091.000000, 8679, 
scalarMultiplyKernel, 15093225, 16, 67, 58, 60 , 140612714.000000, 19699, 
scalarMultiplyKernel, 19501056, 16, 70, 58, 61 , 169953317.000000, 23326, 
scalarMultiplyKernel, 29669809, 16, 56, 39, 43 , 302307305.000000, 29596, 
scalarMultiplyKernel, 27899524, 16, 53, 39, 43 , 283103581.000000, 26188, 
scalarMultiplyKernel, 35964009, 16, 62, 39, 46 , 357935664.000000, 39721, 
scalarMultiplyKernel, 31114084, 16, 64, 42, 52 , 268149382.000000, 33131, 
scalarMultiplyKernel, 37650496, 16, 80, 58, 66 , 323539107.000000, 42060, 
scalarMultiplyKernel, 3968064, 16, 39, 39, 39 , 44751663.000000, 0, 
scalarMultiplyKernel, 2042041, 16, 55, 55, 55 , 18521097.000000, 0, 
scalarMultiplyKernel, 4892944, 64, 63, 57, 57 , 67432598.000000, 9891, 
scalarMultiplyKernel, 2903616, 64, 59, 58, 58 , 50851700.000000, 5503, 
scalarMultiplyKernel, 5363856, 64, 58, 58, 58 , 73881905.000000, 0, 
scalarMultiplyKernel, 8433216, 64, 46, 39, 41 , 118810835.000000, 10068, 
scalarMultiplyKernel, 3775249, 64, 40, 39, 39 , 54497771.000000, 3443, 
scalarMultiplyKernel, 9241600, 64, 43, 39, 41 , 128148017.000000, 7062, 
scalarMultiplyKernel, 2096704, 64, 57, 57, 57 , 28927865.000000, 0, 
scalarMultiplyKernel, 6031936, 64, 58, 57, 57 , 82811381.000000, 5222, 
scalarMultiplyKernel, 3294225, 64, 58, 58, 58 , 45398244.000000, 0, 
scalarMultiplyKernel, 4515625, 64, 60, 58, 59 , 61949460.000000, 5885, 
scalarMultiplyKernel, 4826809, 64, 58, 58, 58 , 66600467.000000, 0, 
scalarMultiplyKernel, 1428025, 64, 58, 58, 58 , 19830074.000000, 0, 
scalarMultiplyKernel, 4804864, 64, 41, 39, 40 , 67545778.000000, 4102, 
scalarMultiplyKernel, 414736, 64, 50, 50, 50 , 6149875.000000, 0, 
scalarMultiplyKernel, 923521, 64, 57, 57, 57 , 13031162.000000, 0, 
scalarMultiplyKernel, 6985449, 64, 44, 39, 40 , 97511426.000000, 8108, 
scalarMultiplyKernel, 7784100, 64, 67, 58, 58 , 107570590.000000, 20237, 
scalarMultiplyKernel, 8844676, 64, 64, 58, 61 , 121574334.000000, 10909, 
scalarMultiplyKernel, 1552516, 64, 44, 44, 44 , 22497386.000000, 0, 
scalarMultiplyKernel, 8549776, 64, 43, 39, 41 , 119255332.000000, 7154, 
scalarMultiplyKernel, 2968729, 64, 39, 39, 39 , 41729660.000000, 0, 
scalarMultiplyKernel, 3775249, 64, 39, 39, 39 , 53131251.000000, 0, 
scalarMultiplyKernel, 4875264, 64, 57, 57, 57 , 67396147.000000, 0, 
scalarMultiplyKernel, 7420176, 64, 41, 39, 40 , 103389491.000000, 5197, 
scalarMultiplyKernel, 6974881, 64, 45, 39, 39 , 116939870.000000, 13792, 
scalarMultiplyKernel, 8994001, 64, 45, 39, 41 , 124525628.000000, 9257, 
scalarMultiplyKernel, 7778521, 64, 60, 57, 59 , 107244296.000000, 6898, 
scalarMultiplyKernel, 9412624, 64, 43, 39, 41 , 130780851.000000, 7006, 
scalarMultiplyKernel, 992016, 64, 57, 57, 57 , 13923966.000000, 0, 
scalarMultiplyKernel, 511225, 64, 55, 55, 55 , 8387735.000000, 0, 
scalarMultiplyKernel, 1223236, 256, 41, 39, 40 , 65094249.000000, 4507, 
scalarMultiplyKernel, 725904, 256, 58, 57, 57 , 38323490.000000, 5512, 
scalarMultiplyKernel, 1340964, 256, 39, 39, 39 , 71668781.000000, 0, 
